,Model,Model Type,Score,Factuality,Precise IF,Math,Safety,Focus,Ties,RBv1
16,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-Llama-3.1-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-Llama-3.1-8B</a>",Seq. Classifier,73.1387048400328,69.89473684210526,42.5,62.841530054644814,93.33333333333333,96.16161616161617,74.10101264849726,92.52495013691698
17,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-8B-Instruct-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-8B-Instruct-RM-RB2</a>",Seq. Classifier,72.84710237854704,74.31578947368422,44.375,61.74863387978142,89.55555555555556,90.7070707070707,76.38056465519024,88.85411761564487
18,"<a target=""_blank"" href=""https://huggingface.co/ShikaiChen/LDL-Reward-Gemma-2-27B-v0.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">ShikaiChen/LDL-Reward-Gemma-2-27B-v0.1</a>",Seq. Classifier,72.48764297589858,75.57894736842105,35.0,64.48087431693989,92.22222222222223,91.31313131313131,76.33068263467705,94.99413134933042
19,"<a target=""_blank"" href=""https://huggingface.co/openai/gpt-4.1-2025-04-14"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openai/gpt-4.1-2025-04-14</a>",Generative,72.31731857413882,82.89473684210526,39.73958333333334,65.20947176684881,87.25925925925924,73.38383838383838,85.41702185944793,
20,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-Tulu-3-70B-SFT-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-Tulu-3-70B-SFT-RM-RB2</a>",Seq. Classifier,72.20387212509466,80.84210526315789,36.875,67.75956284153006,86.8888888888889,77.77777777777779,83.07989797921334,88.9245750153865
21,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-Llama-3.1-8B-v0.2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-Llama-3.1-8B-v0.2</a>",Seq. Classifier,71.7452543316723,69.6842105263158,40.625,60.10928961748634,94.22222222222221,94.14141414141413,71.68938948259527,93.12997963530022
22,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-sonnet-4-20250514"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-sonnet-4-20250514</a>",Generative,71.16513658188997,76.12280701754385,35.937500000000014,70.49180327868852,89.09259259259258,75.95959595959594,79.3865206429189,
23,"<a target=""_blank"" href=""https://huggingface.co/nicolinho/QRM-Llama3.1-8B-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">nicolinho/QRM-Llama3.1-8B-v2</a>",Seq. Classifier,70.74224738945391,66.52631578947368,40.625,61.20218579234973,94.66666666666667,89.0909090909091,72.34240699732423,93.13653373860272
24,"<a target=""_blank"" href=""https://huggingface.co/HFXM/RAMO-Llama3.1-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">HFXM/RAMO-Llama3.1-8B</a>",Seq. Classifier,69.17258753860413,65.47368421052632,37.5,56.284153005464475,97.55555555555556,90.7070707070707,67.51506175300783,
25,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-VL-Reward-7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-VL-Reward-7B</a>",Seq. Classifier,68.84669257606988,60.631578947368425,35.0,63.387978142076506,89.11111111111111,89.0909090909091,75.8585781649542,90.07022246172819
26,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-RL-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-Tulu-3-8B-RL-RM-RB2</a>",Seq. Classifier,68.71219205900773,76.42105263157895,40.0,61.74863387978142,86.44444444444444,84.84848484848484,62.810536549756755,83.68729455170623
27,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-DPO-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-Tulu-3-8B-DPO-RM-RB2</a>",Seq. Classifier,68.69585657154352,75.1578947368421,38.75,62.841530054644814,86.0,85.45454545454545,63.971169183228724,84.30783781180817
28,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-SFT-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-Tulu-3-8B-SFT-RM-RB2</a>",Seq. Classifier,68.20514558353437,73.26315789473684,38.75,57.92349726775956,89.77777777777777,88.88888888888889,60.627551672043204,85.5067097271751
29,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Qwen3-1.7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Qwen3-1.7B</a>",Seq. Classifier,68.17585285009079,65.6842105263158,44.375,72.6775956284153,89.11111111111111,88.48484848484848,48.72235134985406,
30,"<a target=""_blank"" href=""https://huggingface.co/google/gemini-2.5-pro-preview-05-06"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">google/gemini-2.5-pro-preview-05-06</a>",Generative,67.74505852759164,65.31578947368422,46.875,53.41530054644809,88.05555556,83.08080808080808,69.72789750460944,
31,"<a target=""_blank"" href=""https://huggingface.co/Ray2333/GRM-Llama3-8B-rewardmodel-ft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Ray2333/GRM-Llama3-8B-rewardmodel-ft</a>",Seq. Classifier,67.66019726388538,62.73684210526316,35.0,58.46994535519126,92.22222222222223,89.29292929292929,68.23924460770635,91.53526049213252
32,"<a target=""_blank"" href=""https://huggingface.co/RLHFlow/ArmoRM-Llama3-8B-v0.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">RLHFlow/ArmoRM-Llama3-8B-v0.1</a>",Custom Classifier,66.459969505589,65.6842105263158,41.875,66.12021857923497,82.22222222222221,76.56565656565657,66.29250914010449,88.60367185781917
33,"<a target=""_blank"" href=""https://huggingface.co/openai/gpt-4.1-mini-2025-04-14"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openai/gpt-4.1-mini-2025-04-14</a>",Generative,65.7349500114784,60.8421052631579,41.25,72.1311475409836,72.64814814814811,73.53535353535354,74.00294558122724,
34,"<a target=""_blank"" href=""https://huggingface.co/openai/gpt-4o-2024-08-06"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openai/gpt-4o-2024-08-06</a>",Generative,64.92828668947554,56.84210526315789,33.125,62.295081967213115,86.1851851851852,72.92929292929293,78.19305479200412,86.72554986675267
35,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-8B-Base-RM-RB2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-8B-Base-RM-RB2</a>",Seq. Classifier,64.90187760825604,72.0,36.25,61.20218579234973,82.66666666666667,83.23232323232324,54.060089958196535,84.63022615056406
36,"<a target=""_blank"" href=""https://huggingface.co/NCSOFT/Llama-3-OffsetBias-RM-8B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">NCSOFT/Llama-3-OffsetBias-RM-8B</a>",Seq. Classifier,64.79939430060925,60.8421052631579,40.0,51.91256830601093,72.22222222222221,95.95959595959596,67.85987405266853,89.41975692993036
37,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-3-5-sonnet-20240620"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-3-5-sonnet-20240620</a>",Generative,64.66244541750068,52.84210526315789,38.75,56.830601092896174,85.18518518518516,86.96969696969697,67.39708399406791,
38,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Llama-3.2-1B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Llama-3.2-1B</a>",Seq. Classifier,64.37645875381985,60.8421052631579,45.625,60.10928961748634,87.33333333333333,89.29292929292929,43.0560950160123,
39,"<a target=""_blank"" href=""https://huggingface.co/Qwen/WorldPM-72B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Qwen/WorldPM-72B</a>",Seq. Classifier,63.3269114330196,70.73684210526315,31.25,65.57377049180327,85.33333333333334,91.71717171717172,35.350350950546115,
40,"<a target=""_blank"" href=""https://huggingface.co/sfairXC/FsfairX-LLaMA3-RM-v0.1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">sfairXC/FsfairX-LLaMA3-RM-v0.1</a>",Seq. Classifier,62.91859600227345,59.15789473684211,41.875,62.841530054644814,76.66666666666667,70.5050505050505,66.46543405043658,83.38339965331156
41,"<a target=""_blank"" href=""https://huggingface.co/Skywork/Skywork-Reward-V2-Qwen3-0.6B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Skywork/Skywork-Reward-V2-Qwen3-0.6B</a>",Seq. Classifier,61.24950037720884,57.99999999999999,40.0,71.58469945355192,84.44444444444444,79.4949494949495,33.972908870307144,
42,"<a target=""_blank"" href=""https://huggingface.co/Ray2333/GRM-llama3-8B-sftreg"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Ray2333/GRM-llama3-8B-sftreg</a>",Seq. Classifier,60.88793933636373,61.89473684210526,38.75,57.92349726775956,78.66666666666666,68.28282828282828,59.809906958822666,85.42084389305319
43,"<a target=""_blank"" href=""https://huggingface.co/Ray2333/GRM-gemma2-2B-rewardmodel-ft"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Ray2333/GRM-gemma2-2B-rewardmodel-ft</a>",Seq. Classifier,59.66119140947769,53.05263157894737,31.25,59.01639344262295,92.22222222222223,74.54545454545455,47.88044666761904,88.39250002515702
44,"<a target=""_blank"" href=""https://huggingface.co/weqweasdas/RM-Mistral-7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">weqweasdas/RM-Mistral-7B</a>",Seq. Classifier,59.601173986517274,59.36842105263158,34.375,59.56284153005464,69.11111111111111,72.92929292929293,62.26037729601338,79.8233742639417
45,"<a target=""_blank"" href=""https://huggingface.co/allenai/Llama-3.1-Tulu-3-8B-RM"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">allenai/Llama-3.1-Tulu-3-8B-RM</a>",Seq. Classifier,58.99751678794565,74.52631578947368,34.6875,64.48087431693989,74.22222222222223,53.63636363636364,52.43182476267448,
46,"<a target=""_blank"" href=""https://huggingface.co/Ray2333/GRM-llama3-8B-distill"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Ray2333/GRM-llama3-8B-distill</a>",Seq. Classifier,58.903971632622586,58.73684210526315,38.75,59.01639344262295,72.22222222222221,67.27272727272727,57.42564475289993,84.63918882385776
47,"<a target=""_blank"" href=""https://huggingface.co/hendrydong/Mistral-RM-for-RAFT-GSHF-v0"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">hendrydong/Mistral-RM-for-RAFT-GSHF-v0</a>",Seq. Classifier,58.51045929269105,57.78947368421052,36.25,60.10928961748634,69.55555555555556,67.47474747474747,59.883689424146425,78.46503174091394
48,"<a target=""_blank"" href=""https://huggingface.co/openbmb/Eurus-RM-7b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openbmb/Eurus-RM-7b</a>",Seq. Classifier,58.05660762038656,60.0,34.375,56.830601092896174,62.66666666666667,74.74747474747475,59.719903215281676,81.58895090730017
49,"<a target=""_blank"" href=""https://huggingface.co/openai/gpt-4o-mini-2024-07-18"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openai/gpt-4o-mini-2024-07-18</a>",Generative,57.96141949652715,41.05263157894737,34.375,51.91256830601093,76.66666666666664,74.14141414141415,69.62023628612374,80.06759386119498
50,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-3-opus-20240229"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-3-opus-20240229</a>",Generative,57.440340840183985,53.89473684210526,33.125,51.36612021857923,83.77777777777777,66.46464646464646,56.01376373799519,
51,"<a target=""_blank"" href=""https://huggingface.co/CIR-AMS/BTRM_Qwen2_7b_0613"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">CIR-AMS/BTRM_Qwen2_7b_0613</a>",Seq. Classifier,57.36341394412572,53.473684210526315,35.625,60.65573770491803,71.77777777777777,57.37373737373738,65.27454659779481,81.72269085246006
52,"<a target=""_blank"" href=""https://huggingface.co/internlm/internlm2-20b-reward"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">internlm/internlm2-20b-reward</a>",Seq. Classifier,56.278008953717155,55.57894736842105,36.25,57.377049180327866,61.111111111111114,72.52525252525253,54.82569353719035,90.15948083664846
53,"<a target=""_blank"" href=""https://huggingface.co/internlm/internlm2-7b-reward"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">internlm/internlm2-7b-reward</a>",Seq. Classifier,53.34773837781889,42.10526315789473,40.0,56.284153005464475,59.55555555555555,70.5050505050505,51.63640804294809,87.59316719911449
54,"<a target=""_blank"" href=""https://huggingface.co/google/gemini-1.5-flash-8b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">google/gemini-1.5-flash-8b</a>",Generative,48.513631894318785,46.10526315789474,36.25,50.81967213114754,66.22222222222223,67.47474747474747,24.20988637990069,
55,"<a target=""_blank"" href=""https://huggingface.co/openai/gpt-4.1-nano-2025-04-14"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openai/gpt-4.1-nano-2025-04-14</a>",Generative,48.49148497149796,46.456140350877234,25.78125,50.40983606557376,71.55555555555553,46.59932659932663,50.14680125765468,
56,"<a target=""_blank"" href=""https://huggingface.co/weqweasdas/RM-Gemma-7B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">weqweasdas/RM-Gemma-7B</a>",Seq. Classifier,48.25502869477731,49.26315789473684,39.375,60.65573770491803,48.22222222222222,49.696969696969695,42.31708464981706,69.66957334431098
57,"<a target=""_blank"" href=""https://huggingface.co/openbmb/UltraRM-13b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">openbmb/UltraRM-13b</a>",Seq. Classifier,46.83473363506545,50.63157894736842,33.125,55.19125683060109,50.888888888888886,60.80808080808081,30.363596335453508,69.02867919901104
58,"<a target=""_blank"" href=""https://huggingface.co/Nexusflow/Starling-RM-34B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">Nexusflow/Starling-RM-34B</a>",Seq. Classifier,45.53255691061264,45.89473684210526,31.874999999999996,61.74863387978142,75.55555555555556,48.08080808080808,10.040607105425535,81.33351263768401
59,"<a target=""_blank"" href=""https://huggingface.co/internlm/internlm2-1_8b-reward"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">internlm/internlm2-1_8b-reward</a>",Seq. Classifier,39.02376339707181,27.57894736842105,36.25,44.26229508196721,47.11111111111111,59.59595959595959,19.344267224971905,82.16733515408055
60,"<a target=""_blank"" href=""https://huggingface.co/anthropic/claude-3-haiku-20240307"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">anthropic/claude-3-haiku-20240307</a>",Generative,37.11004606544254,40.421052631578945,28.125,35.51912568306011,59.5,50.101010101010104,8.994087977006044,
61,"<a target=""_blank"" href=""https://huggingface.co/PKU-Alignment/beaver-7b-v1.0-cost"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PKU-Alignment/beaver-7b-v1.0-cost</a>",Seq. Classifier,33.32169419042497,32.631578947368425,23.125,39.89071038251366,75.88888888888889,29.393939393939394,-0.9999524701605762,57.97567401900532
62,"<a target=""_blank"" href=""https://huggingface.co/PKU-Alignment/beaver-7b-v2.0-cost"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PKU-Alignment/beaver-7b-v2.0-cost</a>",Seq. Classifier,33.26126668695694,37.89473684210527,27.500000000000004,33.33333333333333,73.55555555555556,28.28282828282828,-0.9988538920808673,59.56778097839703
63,"<a target=""_blank"" href=""https://huggingface.co/OpenAssistant/reward-model-deberta-v3-large-v2"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OpenAssistant/reward-model-deberta-v3-large-v2</a>",Seq. Classifier,32.00225906524769,38.526315789473685,26.875,50.27322404371585,36.666666666666664,27.67676767676768,11.995580214862294,61.25988488574668
64,"<a target=""_blank"" href=""https://huggingface.co/weqweasdas/RM-Gemma-2B"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">weqweasdas/RM-Gemma-2B</a>",Seq. Classifier,30.566279281365752,37.05263157894737,28.125,43.169398907103826,33.111111111111114,23.434343434343436,18.505190656688754,65.48909618129333
65,"<a target=""_blank"" href=""https://huggingface.co/OpenAssistant/oasst-rm-2-pythia-6.9b-epoch-1"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OpenAssistant/oasst-rm-2-pythia-6.9b-epoch-1</a>",Seq. Classifier,26.531808367924175,39.78947368421053,28.749999999999996,37.704918032786885,32.88888888888889,15.353535353535353,4.704034248123392,61.501047673154666
66,"<a target=""_blank"" href=""https://huggingface.co/OpenAssistant/oasst-rm-2.1-pythia-1.4b-epoch-2.5"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">OpenAssistant/oasst-rm-2.1-pythia-1.4b-epoch-2.5</a>",Seq. Classifier,26.47938178923201,31.789473684210527,26.25,39.34426229508197,32.44444444444444,27.070707070707073,1.977403240948076,69.00517292135855
67,"<a target=""_blank"" href=""https://huggingface.co/PKU-Alignment/beaver-7b-v2.0-reward"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PKU-Alignment/beaver-7b-v2.0-reward</a>",Seq. Classifier,25.435434978750283,21.684210526315788,25.624999999999996,38.25136612021858,31.555555555555554,26.060606060606062,9.435871609805728,63.66172878401215
68,"<a target=""_blank"" href=""https://huggingface.co/weqweasdas/hh_rlhf_rm_open_llama_3b"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">weqweasdas/hh_rlhf_rm_open_llama_3b</a>",Seq. Classifier,24.980455972048556,36.421052631578945,27.500000000000004,34.97267759562842,24.0,23.83838383838384,3.150621766700147,50.274817067272814
69,"<a target=""_blank"" href=""https://huggingface.co/PKU-Alignment/beaver-7b-v1.0-reward"" style=""color: var(--link-text-color); text-decoration: underline;text-decoration-style: dotted;"">PKU-Alignment/beaver-7b-v1.0-reward</a>",Seq. Classifier,16.05736504908619,21.052631578947366,29.375,26.229508196721312,14.222222222222221,6.4646464646464645,-0.9998181680202082,47.26664990676508
